scale,gamma,comparison_type,metric,statistic,value,seed_count
medium_large,2,level,cost_budget,mean,20788.80747045115,5
medium_large,2,level,cost_budget,median,18451.6656170773,5
medium_large,2,level,cost_budget,std,5373.558596771735,5
medium_large,2,level,cost_budget,iqr,3455.950103915933,5
medium_large,2,level,cost_budget,min,16600.437009074092,5
medium_large,2,level,cost_budget,max,29908.038033933495,5
medium_large,2,level,actual_robust_cost,mean,20764.47144190644,5
medium_large,2,level,actual_robust_cost,median,18451.55170450367,5
medium_large,2,level,actual_robust_cost,std,5393.753535727384,5
medium_large,2,level,actual_robust_cost,iqr,3521.939717914447,5
medium_large,2,level,actual_robust_cost,min,16544.86039292268,5
medium_large,2,level,actual_robust_cost,max,29908.038033933502,5
medium_large,2,level,actual_price_of_fairness,mean,0.0235508806880524,5
medium_large,2,level,actual_price_of_fairness,median,0.024993672094953734,5
medium_large,2,level,actual_price_of_fairness,std,0.001985857910167692,5
medium_large,2,level,actual_price_of_fairness,iqr,0.0034315983081685264,5
medium_large,2,level,actual_price_of_fairness,min,0.021192329653476838,5
medium_large,2,level,actual_price_of_fairness,max,0.025000000000000133,5
medium_large,2,level,objective_t,mean,0.06225168002314968,5
medium_large,2,level,objective_t,median,0.015807441268575945,5
medium_large,2,level,objective_t,std,0.07406699976782113,5
medium_large,2,level,objective_t,iqr,0.09145342235986534,5
medium_large,2,level,objective_t,min,0.004491570151391565,5
medium_large,2,level,objective_t,max,0.1729206649319224,5
medium_large,2,level,robust_minimum_fill_rate,mean,0.9377483199768504,5
medium_large,2,level,robust_minimum_fill_rate,median,0.9841925587314241,5
medium_large,2,level,robust_minimum_fill_rate,std,0.07406699976782113,5
medium_large,2,level,robust_minimum_fill_rate,iqr,0.09145342235986531,5
medium_large,2,level,robust_minimum_fill_rate,min,0.8270793350680776,5
medium_large,2,level,robust_minimum_fill_rate,max,0.9955084298486084,5
medium_large,2,level,wminfr,mean,0.9377483199768502,5
