scale,rho,seed_count,metric,label,unit,mean,median,standard_deviation,iqr,min,max
large,0.01,10,minimum_weighted_mean_fill_rate,Worst-scenario demand-weighted mean regional fill rate,fraction,0.9225635287773292,0.9455169229452096,0.07754861447536915,0.11254764057111688,0.7916850162958446,0.9973844979376613
large,0.01,10,objective_t,Certified robust worst-region shortage rate (T),fraction,0.08953872765143865,0.05716819454944401,0.09460491881538288,0.1394375825412249,0.002808614780343839,0.26488693491793064
large,0.01,10,penalized_runtime_par2,PAR-2 algorithm runtime,seconds,75.28985698001925,72.05851234984584,23.900313538222445,31.877924174943473,41.095043500186875,113.81008310010657
large,0.01,10,post_evaluation_wall_runtime,Post-evaluation wall time,seconds,33.893646359909326,32.93237529997714,3.386289130014671,0.8455161004094407,31.04171659820713,43.16281149862334
large,0.01,10,robust_minimum_fill_rate,Certified robust minimum regional fill-rate guarantee (1 - T),fraction,0.9104612723485614,0.942831805450556,0.09460491881538287,0.13943758254122496,0.7351130650820694,0.9971913852196561
large,0.01,10,scenario_count,Committed master scenario blocks,count,20.0,20.5,2.6666666666666665,4.0,16.0,23.0
large,0.01,10,total_wall_runtime,Total wall time,seconds,131.88822166034953,129.5724583498668,23.680036576274937,30.236099274479784,100.41072920314036,171.57249940163456
large,0.01,10,wgap,Post-evaluation worst fill-rate range,fraction,0.08489980910876847,0.055232085267474196,0.0929080819670893,0.1307448200882744,0.0028086147803438877,0.25714101786697097
large,0.01,10,wminfr,Post-evaluation worst-scenario minimum regional fill rate,fraction,0.9104612723485612,0.9428318054505558,0.09460491881538287,0.13943758254122507,0.7351130650820693,0.9971913852196561
large,0.01,10,wwd,Post-evaluation worst regional deviation below weighted mean,fraction,0.02128144918672472,0.01036572965611704,0.02059921794189547,0.01961628118267264,0.0025689101779218237,0.06584854609628066
large,0.025,10,actual_price_of_fairness,Actual price of fairness,fraction_of_baseline_cost,0.023384536632440202,0.0249627638035691,0.0023099995167256654,0.003526038360453787,0.01910436692303774,0.0250000000000008
large,0.025,10,actual_robust_cost,Post-evaluation robust cost,model_cost_units,32026.135721589304,27726.01285681373,10175.828585451532,8388.187102380965,24085.569189788803,52253.6289696528
large,0.025,10,algorithm_runtime,Algorithm runtime,seconds,66.36796710998752,70.31164085003547,20.758210685973392,25.535523450176697,33.21858979994431,94.6227271000389
large,0.025,10,cut_count,Certified Farkas cuts,count,6.1,6.5,2.282785822435191,3.75,2.0,9.0
large,0.025,10,iterations,Algorithm iterations,count,7.1,7.5,2.282785822435191,3.75,3.0,10.0
large,0.025,10,minimum_weighted_mean_fill_rate,Worst-scenario demand-weighted mean regional fill rate,fraction,0.9242869308538605,0.9477442721893063,0.07778162495392585,0.11151661639200494,0.7925311176139489,1.0
large,0.025,10,objective_t,Certified robust worst-region shortage rate (T),fraction,0.07571306914613941,0.0522557278106935,0.07778162495392585,0.11151661639200497,0.0,0.20746888238605105
large,0.025,10,penalized_runtime_par2,PAR-2 algorithm runtime,seconds,66.36796710998752,70.31164085003547,20.758210685973392,25.535523450176697,33.21858979994431,94.6227271000389
large,0.025,10,post_evaluation_wall_runtime,Post-evaluation wall time,seconds,32.92348476047628,32.84192365105264,0.9705666058048873,0.7337028512265533,31.418874501250684,35.13900619978085
large,0.025,10,robust_minimum_fill_rate,Certified robust minimum regional fill-rate guarantee (1 - T),fraction,0.9242869308538605,0.9477442721893066,0.07778162495392585,0.11151661639200505,0.7925311176139489,1.0
large,0.025,10,scenario_count,Committed master scenario blocks,count,19.1,19.5,2.282785822435191,3.75,15.0,22.0
large,0.025,10,total_wall_runtime,Total wall time,seconds,121.7187460603891,124.92148914921563,20.813058499200412,21.729893902142067,87.15877080149949,151.23668769793585
large,0.025,10,wgap,Post-evaluation worst fill-rate range,fraction,0.04694515171393197,0.042623251847875965,0.0416666540320111,0.0628393338231594,0.0,0.11169153164642664
